   r/D           g2
0.000000   0.00000000
0.023504   0.00000000
0.047007   0.00000000
0.070511   0.00000000
0.094015   0.00000000
0.117518   0.00000000
0.141022   0.00000000
0.164526   0.00000000
0.188029   0.00000000
0.211533   0.00000000
0.235037   0.00000000
0.258540   0.00000000
0.282044   0.00000000
0.305548   0.00000000
0.329051   0.00000000
0.352555   0.00000000
0.376059   0.00000000
0.399562   0.00000000
0.423066   0.00000000
0.446570   0.00000000
0.470073   0.00000000
0.493577   0.00000000
0.517081   0.00000000
0.540584   0.00000000
0.564088   0.00000000
0.587592   0.00000000
0.611095   0.00000000
0.634599   0.00000000
0.658103   0.00000000
0.681606   0.00000000
0.705110   0.00000000
0.728614   0.00000000
0.752117   0.00000000
0.775621   0.00000000
0.799125   0.00000000
0.822628   0.00000000
0.846132   0.00000000
0.869636   0.00000000
0.893139   0.00000000
0.916643   0.00000000
0.940147   0.00000000
0.963650   0.00000000
0.987154   1.77708741
1.010658   5.44283663
1.034161   4.08456241
1.057665   2.75765079
1.081169   2.00039884
1.104672   1.75809069
1.128176   0.96740740
1.151680   0.74781064
1.175183   0.54452442
1.198687   0.59711211
1.222191   0.63529659
1.245694   0.62169900
1.269198   0.72102954
1.292702   0.74067129
1.316205   0.80209503
1.339709   0.91782149
1.363213   0.96834619
1.386716   1.10157291
1.410220   1.00485170
1.433724   1.42220317
1.457227   1.31318053
1.480731   1.55600247
1.504235   1.31406567
1.527738   1.42411138
1.551242   1.40715834
1.574746   1.18842455
1.598249   1.13042859
1.621753   1.00008689
1.645257   1.01706706
1.668761   0.97261894
1.692264   0.92489246
1.715768   0.75005356
1.739272   0.88629409
1.762775   0.82879521
1.786279   0.78829760
1.809783   0.67044167
1.833286   0.67173077
1.856790   0.68602420
1.880294   0.63465106
1.903797   0.56871381
1.927301   0.48519189
1.950805   0.46166503
1.974308   0.52927774
1.997812   0.61278876
2.021316   0.83455328
2.044819   0.87056124
2.068323   0.95481440
2.091827   0.83229953
2.115330   0.85515519
2.138834   0.88017252
2.162338   0.91702219
2.185841   0.86876296
2.209345   1.09538283
2.232849   1.06653404
2.256352   1.08981508
2.279856   1.21515807
2.303360   1.20807419
2.326863   1.30866862
2.350367   1.33564192
2.373871   1.44571235
2.397374   1.57797727
2.420878   1.45611550
2.444382   1.66488454
2.467885   1.50000583
2.491389   1.48694405
2.514893   1.37696614
2.538396   1.41857297
2.561900   1.38821597
2.585404   1.25526204
2.608907   1.11100693
2.632411   1.02709784
2.655915   1.00261879
2.679418   0.76464569
2.702922   0.71994255
2.726426   0.61250227
2.749929   0.51468821
2.773433   0.45406669
2.796937   0.44849754
2.820440   0.42176784
2.843944   0.39585067
2.867448   0.45122643
2.890951   0.51766722
2.914455   0.56017815
2.937959   0.60306389
2.961462   0.62346004
2.984966   0.73823673
3.008470   0.83918017
3.031973   0.92353340
3.055477   1.08610300
3.078981   1.14123994
3.102484   1.23623698
3.125988   1.31092890
3.149492   1.26982020
3.172995   1.40895695
3.196499   1.34318732
3.220003   1.36990096
3.243506   1.26083008
3.267010   1.25299904
3.290514   1.18827111
3.314017   1.16597467
3.337521   1.20236233
3.361025   1.17615858
3.384528   1.16672794
3.408032   1.11093405
3.431536   1.08407306
3.455039   1.06559333
3.478543   0.97606021
3.502047   0.88629409
3.525550   0.97397964
3.549054   0.88151443
3.572558   0.86760892
3.596061   0.86473858
3.619565   0.83357317
3.643069   0.81011702
3.666572   0.79523320
3.690076   0.83172070
3.713580   0.87171207
3.737083   0.95932739
3.760587   0.92559153
3.784091   1.04048235
3.807594   1.11411185
3.831098   1.17428870
3.854602   1.14345089
3.878105   1.13588356
3.901609   1.16497924
3.925113   1.19531098
3.948616   1.12070871
3.972120   1.08207893
3.995624   0.97355738
4.019127   0.91631070
4.042631   0.84706852
4.066135   0.74380029
4.089638   0.71497542
4.113142   0.66023657
4.136646   0.68444264
4.160149   0.67766790
4.183653   0.70901597
4.207157   0.68804594
